LIMS	// User ID
11-12-2017	// Evaluation date
P030__5__[321-19-9-43]	17-11-2017	19:09:38:339	// Source file name and timestamp
2000.000	// Sampling rate
4.872	// Data capture period

Sample #	Left_FP	Right_FP	Left_X	Left_Y	Right_X	Right_Y	Global_X	Global_Y	JumpHeight	
112	301.538880	246.192434	-170.849545	282.989295	180.028151	276.327564	-13.138215	279.995002	0.000000	
113	301.603974	246.135493	-170.894179	282.931869	180.050442	276.367238	-13.191598	279.981947	0.000000	
114	301.666585	246.073304	-170.932737	282.880334	180.075312	276.410575	-13.241628	279.973781	0.000000	
115	301.726532	246.006068	-170.964255	282.839354	180.101943	276.456353	-13.288019	279.972523	0.000000	
116	301.782992	245.934164	-170.988528	282.814379	180.129614	276.502403	-13.330610	279.980196	0.000000	
117	301.833557	245.857092	-171.006033	282.809802	180.158008	276.546989	-13.369290	279.998439	0.000000	
118	301.874946	245.774334	-171.017981	282.826268	180.186910	276.589611	-13.404064	280.027378	0.000000	
119	301.905114	245.687329	-171.025839	282.859958	180.215549	276.630359	-13.434989	280.064935	0.000000	
120	301.924278	245.599882	-171.030640	282.904781	180.242456	276.668544	-13.462011	280.107427	0.000000	
121	301.934046	245.516726	-171.032987	282.955439	180.265902	276.702447	-13.485026	280.151143	0.000000	
122	301.935752	245.441853	-171.033483	283.008850	180.284426	276.730356	-13.503986	280.193599	0.000000	
123	301.929368	245.377651	-171.033018	283.063880	180.297108	276.751435	-13.518939	280.233781	0.000000	
124	301.913785	245.324782	-171.032995	283.120579	180.303603	276.765911	-13.530254	280.271808	0.000000	
125	301.888495	245.282260	-171.035487	283.178900	180.304120	276.775079	-13.539181	280.308235	0.000000	
126	301.855015	245.247436	-171.042763	283.237600	180.299424	276.781352	-13.548000	280.343483	0.000000	
127	301.816401	245.216167	-171.056325	283.294568	180.290791	276.788138	-13.559316	280.377956	0.000000	
128	301.775406	245.183754	-171.076468	283.348147	180.279709	276.799031	-13.575081	280.412394	0.000000	
129	301.732909	245.146404	-171.102443	283.398275	180.267421	276.816525	-13.595920	280.447912	0.000000	
130	301.687986	245.102183	-171.132645	283.446457	180.254634	276.841157	-13.621055	280.485589	0.000000	
131	301.639330	245.050937	-171.165163	283.494754	180.241563	276.871526	-13.649010	280.525928	0.000000	
132	301.586656	244.993199	-171.198781	283.544809	180.228306	276.905171	-13.678803	280.568728	0.000000	
